src_id,zh,vi
1,我是一名妻子、母亲，也是一名全职金融专业人士，每天要花三个小时来回通勤。,"Tôi là một người vợ, một người mẹ và một chuyên gia tài chính toàn thời gian, với quãng đường di chuyển hàng ngày là ba tiếng đồng hồ đi và về."
1,我是一名 ME/CFS 患者，我很幸运。,Tôi là bệnh nhân ME/CFS và tôi là một trong những người may mắn.
2,我在从EB病毒恢复后，于1995年被诊断出。,Tôi được chẩn đoán vào năm 1995 sau khi hồi phục từ virus Epstein-Barr.
3,所以，在 1995 年，我 12 岁的时候，我就去看医生了。,"Vì vậy, tôi đã đi khám bệnh vào năm 1995, khi tôi 12 tuổi."
4,更多的人熟悉“雅皮士流感”这个词，而不是慢性疲劳综合征的诊断甚至真实性。,Nhiều người quen thuộc với thuật ngữ “cảm cúm yuppie” hơn là chẩn đoán hoặc thậm chí là tính xác thực của hội chứng mệt mỏi mãn tính.
4,那时还没有谷歌，我也不能问你。,Chưa có Google và tôi không thể hỏi bạn.
5,1995年，在我疲惫到无法入睡的深夜，这是所有ME/CFS症状中最令人沮丧的矛盾。,"Năm 1995, trong những giờ đêm muộn khi tôi quá mệt mỏi để ngủ, điều đó là sự mâu thuẫn gây bực bội nhất trong tất cả các triệu chứng của ME/CFS."
7,在经历了数月的身体和认知障碍后，反复获得健康证明，这些障碍如此严重，以至于你不得不停止工作。,"Bằng cách liên tục nhận được giấy chứng nhận sức khỏe sạch sẽ sau nhiều tháng suy giảm thể chất và nhận thức, nghiêm trọng đến mức bạn phải ngừng làm việc,"
8,一开始，我被诊断出患有慢性疲劳综合征，我本来可以自己写下这一段。,"Lúc đầu, tôi được chẩn đoán mắc hội chứng mệt mỏi mãn tính và tôi có thể tự viết phần này."
9,疼痛并没有阻止我紧紧地握住笔写字。,Nỗi đau không ngăn cản tôi cầm bút chặt đến mức có thể viết.
9,在那些我连胳膊都抬不起来的日子里。,Trong những ngày mà tôi thậm chí không thể nâng cánh tay lên.
10,我很幸运的是，这位风湿病专家没有忽视我的症状，没有将其归咎于生长痛、青春期或焦虑，,"Tôi thật may mắn khi bác sĩ chuyên khoa thấp khớp này không bỏ qua các triệu chứng của tôi, không cho rằng đó là do đau nhức khi lớn, tuổi dậy thì hay lo lắng,"
11,这种情况不止发生一次。,Điều này xảy ra nhiều hơn một lần.
11,我很幸运没有等几个月甚至几年才得到诊断，也很幸运今天有机会与您交谈。,Tôi may mắn vì không phải chờ đợi hàng tháng hoặc hàng năm để được chẩn đoán và tôi may mắn được có cơ hội nói chuyện với bạn hôm nay.
12,我在冰箱里有两瓶可注射的“行动凝胶”，这是最后的手段。,"Tôi có hai ống thuốc tiêm Actavis gel trong tủ lạnh, đó là phương án cuối cùng."
12,之所以说这是最后的手段，是因为每瓶要价3万美元。,Phương án cuối cùng vì nó có giá 30.000 đô la một ống.
12,财务援助计划的行政手续非常繁琐，,"Chương trình hỗ trợ tài chính rất phức tạp về mặt hành chính,"
13,它会导致运动后乏力。,Nó gây ra tình trạng mệt mỏi sau gắng sức.
13,冰箱里还有治疗银屑病关节炎的卡式磁带，我被诊断为 H33。,"Ngoài ra trong tủ lạnh của tôi có băng cassette cho bệnh viêm khớp vảy nến, tôi đã được chẩn đoán là H33."
14,我需要经典纤维的类风湿科医生可以吗？,Các bác sĩ chuyên khoa thấp khớp mà tôi cần có cần sợi cổ điển không?
