src_id,zh,vi
131,写给自己的第131封信 这就是我， 我也不完美， 我永远不够好， 有时欢 可这又有什么呢?,"Bức thư viết cho chính mình số 131 Tôi luôn không đủ tốt, không đủ hoàn hảo, nhưng như thế thì có sao cơ chứ?"
131,有时包容， 有时懒散， 有时脆弱， 有时伤感， 有时坚强， 有时奋进， 但我一直走在更好的路上。,"biếng, có lúc kiên cường, có lúc yếu đuối, có lúc bao dung, có lúc khinh bỉ, nhưng tôi vẫn đang đi trên con đường ngày càng tốt đẹp hơn."
133,写给自己的第133封信 你就会恍 钱包里都是自己努力赚来的钱的时候， 当你又瘦又好看， 哪有时间患得患失， 哪有时间揣摩别人。,"Bức thư viết cho chính mình số 133 Khi bạn vừa gầy lại xinh đẹp, trong ví đều là tiền do bản thân nỗ lực kiếm được, bạn mới ngộ ra rằng bạn làm gì có thời gian để tính toán được mất, để đoán này đoán nọ, để phán xét người khác chứ."
155,写给自己的第155封信 直到有一天你发现你身边的支点都倒下 你不会发现自己有多强大，直到;你也没有倒下。,Bức thư viết cho chính mình số 155 Bạn không thể biết được bạn mạnh mẽ đến nhường nào cho đến một ngày bạn phát hiện ra tất cả các điểm tựa xung quanh bạn không còn nữa và bạn vẫn chưa hề gục ngã.
160,写给自己的第160封信 根本懒得提起 别太理会人家背后怎么说你， 因为那些比你强的人， 本身就是一种仰望。,Bức thư viết cho chính mình số 160 Đừng để ý những gì người khác nói sau lưng bạn bởi những người tài giỏi hơn là sự ngưỡng mộ đó.
161,任何时候都要记得给人生留点余地。,"Bất cứ lúc nào cũng phải nhớ giữ lại cho cuộc đời một khoảng trống thích hợp, bạn nhé."
164,写给自己的第164封信 永远不要害怕做你自己。,Bức thư viết cho chính mình số 164 Đừng bao giờ sợ làm chính mình.
175,写给自己的第175封信 得到的才越多。,Bức thư viết cho chính mình số 175 Bạn từ chối càng nhiều thì mới đạt được càng nhiều.
178,写给自己的第178封信 又何必在乎别人以与众不同的眼 既然已选择了与众不同的生活方式， 光看你呢?,Bức thư viết cho chính mình số 178 Nếu đã lựa chọn cách sống khác với số đông thì sao phải đế ý tới những ánh mắt khác thường đang phán xét soi mói bạn chứ?
180,写给自己的第180封信 就是把钱花自己身上， 去 去护肤、 去旅游、 女人年轻时最好的投资， 别人才会对你 你对自己好， 让自己在最好年华里爆发最好的光彩。,"Bức thư viết cho chính mình số 180 Sự đầu tư tốt nhất của người phụ nữ khi còn trẻ chính là tiêu tiền cho chính bản thân mình, đi du lịch, dưỡng da, hưởng thụ và khiến bản thân tỏa sáng nhất trong quãng thời gian đẹp nhất."
181,人生如此而已。,Cuộc sống chính là như vậy đó bạn ạ.
182,写给自己的第182封信 没有人有义务必须透过你邋遢的外表去发现你优秀的内在。,Bức thư viết cho chính mình số 182 Không ai có nghĩa vụ phát hiện ra những phẩm chất bên trong tốt đẹp của bạn thông qua vẻ bề ngoài không trau chuốt.
188,那 给悔恨者一个微笑， 给悲伤者一个微笑， 那是原谅； 那是安慰； 是鼓励； 给快乐者 给迷茫者一个微笑， 给失望者一个微笑， 那是信心； 那是动力； 那是分享。,"Một nụ cười với người thất bại là sự cổ vũ, một nụ cười với người đang đau buồn là sự an ủi, một nụ cười với kẻ thù là sự tha thứ, một nụ cười với người đang thất vọng là động lực, một nụ cười với kẻ lạc lối là lòng tin và một nụ cười với người vui vẻ là chia sẻ tuyệt vời nhất."
190,写给自己的第190封信 你都无法改变。,Bức thư viết cho chính mình số 190 Người khác nghĩ gì làm gì bạn không thể thay đốổi được.
196,写给自己的第196封信 做的事， 你对别人 从来不能决定你是什么样的人; 别人对你说的话， 才能决定你是什么样的人。,"Bức thư viết cho chính mình số 196 Những lời người khác nói, những việc người khác làm với bạn không thể quyết định bạn là người như thế nào."
202,写给自己的第202封信 生命是一种回声。,Bức thư viết cho chính mình số 202 Sinh mệnh là sự hồi âm kì diệu.
207,写给自己的第207封信 锻炼身体， 保持健康。,"Bức thư viết cho chính mình số 207 luyện thế thao, giữ gìn sức khỏe."
208,她就是她自己。,Họ chỉ là chính họ mà thôi.
